acct_ref,cust_ref,has_dependents,tenure_mo,home_phone,multi_line,internet_plan,add_on_security,add_on_backup,add_on_protection,tech_support_std,stream_tv,stream_movies,contract_term,e_bill_opt_in,pay_method,monthly_fee,total_billed,left_flag,fiscal_qtr,gender,age_years,is_married,dependents_count,referred_friend,referrals_count,recent_offer,avg_long_dist_fee,internet_tech,avg_gb_download,premium_support,stream_music,unlimited_data_opt,refunds_total,extra_data_fees_total,long_dist_fees_total
ACCT257573,CUST90259696,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,Q3,Male,21,No,0,No,0,Offer D,32.62,NA,0,No,No,No,0,0,521.92
ACCT164521,CUST31444188,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,Q3,Male,39,Yes,0,Yes,7,Offer B,5.69,Fiber Optic,10,No,Yes,Yes,0,0,330.02
ACCT667827,CUST32536533,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,Q3,Male,38,No,1,No,0,NA,44.33,Fiber Optic,11,No,Yes,Yes,0,0,2172.17
ACCT172803,CUST59720244,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,Q3,Male,27,No,0,No,0,NA,10.4,Fiber Optic,48,Yes,Yes,Yes,0,0,260
ACCT572913,CUST16531144,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,Q3,Female,48,Yes,0,Yes,7,Offer A,33.23,Fiber Optic,3,Yes,Yes,Yes,0,0,2292.87
ACCT385642,CUST28032853,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,Q3,Female,57,No,0,No,0,Offer B,22.55,NA,0,No,No,No,0,0,1172.6
ACCT829797,CUST78521104,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,Q3,Male,61,No,0,No,0,NA,14.67,Fiber Optic,7,No,Yes,Yes,0,0,1041.57
ACCT922800,CUST49157026,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,Q3,Female,30,No,0,No,0,Offer D,6.49,Fiber Optic,73,No,Yes,No,0,30,136.29
ACCT612186,CUST26166998,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,Q3,Male,78,No,0,No,0,NA,0,DSL,8,No,No,No,0,20,0
ACCT502279,CUST53307151,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,Q3,Male,45,Yes,0,Yes,10,Offer D,11.04,NA,0,No,No,No,0,0,132.48
ACCT809610,CUST71062782,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,Q3,Male,29,No,0,No,0,NA,33.58,NA,0,No,No,No,0,0,33.58
ACCT474217,CUST66501306,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,Q3,Male,42,Yes,2,Yes,3,Offer B,5.29,Cable,30,Yes,No,Yes,0,0,259.21
ACCT155538,CUST57839034,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,Q3,Female,25,No,0,No,0,NA,19.41,Cable,27,No,No,Yes,0,0,582.3
ACCT107754,CUST38728369,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,Q3,Male,61,Yes,1,Yes,1,NA,31.35,Fiber Optic,16,No,Yes,Yes,0,0,1473.45
ACCT971795,CUST34186773,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,Q3,Male,36,Yes,0,Yes,9,NA,10.92,DSL,28,Yes,Yes,Yes,0,0,786.24
ACCT318332,CUST52204739,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,Q3,Female,69,Yes,0,Yes,3,NA,47.02,Fiber Optic,12,Yes,No,Yes,0,0,3338.42
ACCT470804,CUST83672803,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,Q3,Male,79,Yes,0,Yes,10,Offer E,33.1,Fiber Optic,11,No,No,No,0,10,66.2
ACCT536919,CUST92974012,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,Q3,Female,46,Yes,0,Yes,5,NA,40.21,DSL,13,Yes,No,Yes,0,0,1085.67
ACCT553826,CUST37140110,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,Q3,Male,35,No,0,No,0,Offer E,24.48,NA,0,No,No,No,0,0,24.48
ACCT666983,CUST65157828,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,Q3,Male,71,No,0,No,0,Offer E,11.89,DSL,12,No,No,Yes,0,0,11.89
ACCT583861,CUST82043390,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,Q3,Female,60,Yes,0,Yes,7,NA,23.66,Fiber Optic,26,Yes,No,Yes,0,0,1703.52
ACCT765914,CUST11358195,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,Q3,Male,56,No,3,No,0,NA,12.6,Fiber Optic,58,No,No,Yes,0,0,63
ACCT714677,CUST53438379,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,Q3,Female,19,No,0,No,0,Offer B,42.44,Fiber Optic,69,No,No,Yes,0,0,1952.24
ACCT380674,CUST54923597,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,Q3,Male,51,No,1,No,0,Offer C,21.69,Fiber Optic,28,No,Yes,Yes,0,0,737.46
ACCT944231,CUST86644910,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,Q3,Female,48,No,2,No,0,NA,27.57,Cable,18,No,Yes,Yes,0,0,303.27
ACCT382597,CUST18113200,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,Q3,Female,28,Yes,0,Yes,8,Offer D,8.74,NA,0,No,No,No,0,0,148.58
ACCT422761,CUST95708889,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,Q3,Female,36,No,0,No,0,Offer B,12.82,DSL,17,Yes,No,Yes,0,0,807.66
ACCT460434,CUST97144047,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,Q3,Female,42,Yes,0,Yes,1,Offer D,11.79,DSL,29,Yes,No,Yes,0,0,153.27
ACCT649092,CUST81600011,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,Q3,Female,49,No,0,No,0,Offer B,27.2,Fiber Optic,24,No,Yes,Yes,0,0,1332.8
ACCT151636,CUST84062913,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97,No,Q3,Male,22,No,0,No,0,NA,40.75,DSL,71,No,No,Yes,0,0,81.5
ACCT916111,CUST14957882,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,Q3,Female,32,No,2,No,0,NA,5.85,Fiber Optic,19,No,No,No,0,20,11.7
ACCT171560,CUST75286838,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,Q3,Male,23,No,0,No,0,Offer B,29.16,Cable,73,Yes,Yes,Yes,0,0,1516.32
ACCT627700,CUST15591407,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,Q3,Female,64,Yes,0,Yes,7,NA,39.88,Cable,17,Yes,No,No,0,40,2751.72
ACCT234013,CUST50521668,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,Q3,Female,34,No,1,No,0,NA,3.96,Fiber Optic,20,No,Yes,Yes,0,0,59.4
ACCT783632,CUST62822631,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,Q3,Female,65,Yes,0,Yes,9,NA,30.6,DSL,2,Yes,No,Yes,0,0,765
ACCT815125,CUST59230306,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,Q3,Female,74,Yes,1,Yes,1,Offer E,48.85,Fiber Optic,17,No,No,Yes,0,0,390.8
ACCT106089,CUST80187711,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,Q3,Female,72,Yes,0,Yes,9,Offer B,48.9,Cable,16,Yes,No,Yes,0,0,2934
ACCT775945,CUST34058340,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,Q3,Male,71,No,3,No,0,Offer D,11.33,Fiber Optic,52,No,Yes,Yes,45.61,0,203.94
ACCT879348,CUST49442388,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,Q3,Female,44,Yes,0,Yes,2,Offer B,1.43,Fiber Optic,16,No,Yes,Yes,0,0,90.09
ACCT802258,CUST63666259,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,Q3,Male,77,Yes,0,Yes,3,NA,21.79,Fiber Optic,9,Yes,No,Yes,0,0,1438.14
ACCT151035,CUST49536615,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,Q3,Female,61,Yes,0,Yes,10,NA,25.21,NA,0,No,No,No,0,0,857.14
ACCT683983,CUST94516703,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,Q3,Female,40,No,0,No,0,NA,9.47,Fiber Optic,21,Yes,Yes,No,0,60,681.84
ACCT381731,CUST22702140,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,Q3,Male,27,No,0,No,0,Offer B,42.88,Fiber Optic,52,No,No,Yes,0,0,2572.8
ACCT414714,CUST59924813,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962,No,Q3,Male,36,Yes,0,Yes,7,Offer A,0,Cable,17,No,No,Yes,0,0,0
ACCT869776,CUST16908819,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,Q3,Female,43,Yes,0,Yes,2,Offer D,44.97,Cable,7,Yes,No,Yes,0,0,809.46
ACCT264687,CUST24502804,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,Q3,Female,41,No,2,No,0,NA,27.21,Fiber Optic,29,No,Yes,Yes,0,0,244.89
ACCT936499,CUST33937148,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,Q3,Male,32,Yes,0,Yes,8,Offer B,39.52,Fiber Optic,30,No,No,Yes,0,0,1857.44
ACCT647504,CUST36670599,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,Q3,Female,61,No,0,No,0,NA,25.57,DSL,27,Yes,Yes,No,0,70,792.67
ACCT274882,CUST97131166,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,Q3,Female,37,Yes,0,Yes,5,Offer B,26.95,NA,0,No,No,No,0,0,1347.5
ACCT210466,CUST22543775,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,Q3,Male,29,No,0,No,0,NA,48.38,Fiber Optic,42,No,No,Yes,0,0,483.8
ACCT949354,CUST30210348,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,Q3,Male,39,No,0,No,0,NA,25.77,Cable,5,Yes,No,Yes,0,0,25.77
ACCT599051,CUST78529009,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,Q3,Female,24,Yes,0,Yes,3,Offer B,5.65,NA,0,No,No,No,0,0,293.8
ACCT717546,CUST29828570,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,No,Q3,Male,71,Yes,0,Yes,9,Offer B,16.33,Fiber Optic,10,Yes,No,Yes,0,0,1045.12
ACCT351018,CUST54180909,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,Q3,Male,40,Yes,0,Yes,4,Offer B,48.73,NA,0,No,No,No,0,0,3021.26
ACCT410374,CUST99686059,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,Q3,Female,51,No,3,No,0,Offer E,39.55,DSL,56,Yes,Yes,No,0,60,118.65
ACCT230443,CUST32265735,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,Q3,Female,73,No,0,No,0,NA,47.13,Fiber Optic,29,No,No,Yes,0,0,2639.28
ACCT530082,CUST85617657,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,Q3,Female,50,No,0,No,0,Offer B,2.03,Cable,7,No,Yes,Yes,0,0,93.38
ACCT159769,CUST60700661,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,Q3,Female,62,Yes,1,Yes,1,Offer E,38.78,DSL,18,No,No,Yes,0,0,310.24
ACCT220440,CUST77913522,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,Q3,Male,80,No,0,No,0,NA,38.61,DSL,5,No,No,Yes,0,0,1158.3
ACCT698982,CUST89401073,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,Q3,Female,48,Yes,0,Yes,4,Offer B,22.49,NA,0,No,No,No,0,0,1012.05
ACCT455498,CUST27588525,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,Q3,Female,23,Yes,1,Yes,1,NA,0,Cable,41,No,Yes,Yes,0,0,0
ACCT557806,CUST79240564,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,Q3,Female,34,Yes,5,Yes,1,NA,8.69,Fiber Optic,53,No,No,Yes,0,0,60.83
ACCT769536,CUST35188425,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,Q3,Female,38,No,0,No,0,Offer B,40.15,Fiber Optic,28,Yes,Yes,No,0,110,1686.3
ACCT216493,CUST65261063,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,Q3,Female,31,Yes,0,Yes,10,NA,2.82,NA,0,No,No,No,0,0,138.18
ACCT244835,CUST25437607,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,Q3,Female,51,Yes,0,Yes,1,Offer C,24.53,DSL,30,No,No,Yes,0,0,858.55
ACCT280623,CUST47712797,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057,No,Q3,Female,24,Yes,0,Yes,10,NA,37.96,NA,0,No,No,No,0,0,1822.08
ACCT873134,CUST81499453,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,Q3,Female,56,Yes,0,Yes,1,NA,30.47,NA,0,No,No,No,0,0,1401.62
ACCT135658,CUST53389072,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,Q3,Male,32,Yes,3,Yes,5,Offer C,6.19,Fiber Optic,21,No,No,No,0,120,185.7
ACCT268266,CUST72072606,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,Q3,Male,79,No,0,No,0,NA,27.65,Fiber Optic,2,Yes,No,Yes,0,0,27.65
ACCT885304,CUST51791775,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84,5714.25,No,Q3,Male,57,Yes,0,No,0,Offer A,6.22,DSL,26,Yes,Yes,Yes,0,0,410.52
ACCT914201,CUST67344444,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107,No,Q3,Female,50,No,0,No,0,NA,41.78,Fiber Optic,14,No,Yes,Yes,0,0,2715.7
ACCT461265,CUST60644115,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,Q3,Male,52,No,0,No,0,Offer A,24.53,Fiber Optic,12,No,Yes,Yes,0,0,1766.16
ACCT598495,CUST24384193,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,Q3,Female,34,No,3,No,0,NA,25.34,Fiber Optic,56,No,No,No,0,80,304.08
ACCT531820,CUST37511482,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,Q3,Male,50,Yes,0,Yes,1,Offer A,4.85,DSL,26,Yes,No,Yes,0,0,344.35
ACCT195089,CUST80570038,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21,1107.2,No,Q3,Male,62,No,0,No,0,NA,28.3,NA,0,No,No,No,0,0,1471.6
ACCT152211,CUST30700893,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,Q3,Female,78,Yes,1,Yes,1,Offer C,19.76,Fiber Optic,12,No,No,Yes,13.43,0,494
ACCT740932,CUST52103542,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,Q3,Male,19,No,0,No,0,Offer E,41.1,NA,0,No,No,No,0,0,41.1
ACCT444871,CUST39890789,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,Q3,Female,38,Yes,2,Yes,1,Offer E,16.44,NA,0,No,No,No,0,0,16.44
ACCT463184,CUST61546339,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95,3605.6,No,Q3,Male,34,No,0,No,0,Offer C,3.95,Fiber Optic,21,Yes,No,Yes,0,0,150.1
ACCT511856,CUST64435545,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,Q3,Female,65,Yes,0,No,0,Offer A,0,Cable,9,No,No,Yes,0,0,0
ACCT109175,CUST98874038,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,Q3,Male,35,No,0,No,0,Offer E,0,DSL,21,No,No,Yes,0,0,0
ACCT119501,CUST29643960,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,No,Q3,Female,25,Yes,0,Yes,1,Offer A,25.82,Fiber Optic,59,No,Yes,Yes,0,0,1859.04
ACCT142086,CUST19829381,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,No,Q3,Female,60,No,0,No,0,Offer C,0,DSL,18,No,No,Yes,0,0,0
ACCT986914,CUST51695401,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,No,Q3,Male,50,No,0,No,0,NA,41.22,Fiber Optic,7,No,Yes,Yes,0,0,1772.46
ACCT693054,CUST64001072,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,No,Q3,Male,38,Yes,0,Yes,1,Offer A,49.5,NA,0,No,No,No,0,0,3564
ACCT281270,CUST46159091,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,Q3,Male,37,Yes,1,No,0,NA,49.06,Fiber Optic,27,No,No,Yes,0,0,2698.3
ACCT245778,CUST87817970,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,No,Q3,Female,36,No,0,No,0,NA,26.55,Fiber Optic,12,No,No,Yes,0,0,1141.65
ACCT575573,CUST30775759,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,No,Q3,Male,38,Yes,2,Yes,1,Offer E,33.3,Fiber Optic,12,No,No,Yes,0,0,99.9
ACCT108511,CUST77297271,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,Q3,Female,62,Yes,2,Yes,1,NA,24.48,Fiber Optic,30,No,Yes,Yes,0,0,244.8
ACCT791794,CUST56938994,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.65,835.15,No,Q3,Female,53,No,0,No,0,NA,31.62,NA,0,No,No,No,0,0,1296.42
ACCT858148,CUST41944406,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.7,112.75,No,Q3,Female,31,No,0,No,0,Offer E,7.72,NA,0,No,No,No,0,0,46.32
ACCT539459,CUST43638865,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,Q3,Male,21,No,2,No,0,Offer E,14.6,Fiber Optic,71,No,Yes,Yes,8.74,0,43.8
ACCT365978,CUST24938962,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.85,62.9,No,Q3,Female,27,Yes,1,Yes,1,NA,39.89,NA,0,No,No,No,0,0,159.56
ACCT794117,CUST74040281,No,33,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,88.95,3027.65,No,Q3,Male,59,No,0,No,0,Offer C,47.64,Fiber Optic,18,Yes,No,Yes,0,0,1572.12
ACCT288505,CUST10037259,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes,Q3,Female,72,No,1,No,0,Offer C,3.33,Fiber Optic,18,No,No,No,0,10,89.91
